epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.15,1.4472,2.11236,1.48025,0.22316,0.3124,0.17871,0.08971,1.67198,2.53031,1.70766,0.000331878,0.000331878,0.000331878
2,278.211,1.465,1.75026,1.516,0.32662,0.27236,0.24482,0.14307,1.56695,2.20475,1.64527,0.000643259,0.000643259,0.000643259
3,415.62,1.45441,1.70208,1.51911,0.29252,0.2356,0.19416,0.10366,1.64169,2.34745,1.73582,0.00093264,0.00093264,0.00093264
4,551.305,1.42193,1.70843,1.51369,0.41655,0.25361,0.25132,0.14576,1.56784,2.04409,1.67763,0.000901,0.000901,0.000901
5,687.286,1.42128,1.61115,1.49499,0.34406,0.30739,0.27898,0.16411,1.4795,1.87804,1.57064,0.000868,0.000868,0.000868
6,825.17,1.38304,1.53833,1.47837,0.44675,0.34771,0.35035,0.22041,1.41677,1.66423,1.52554,0.000835,0.000835,0.000835
7,961.934,1.35142,1.50669,1.45004,0.42252,0.34538,0.33582,0.2071,1.38911,1.67836,1.50951,0.000802,0.000802,0.000802
8,1100.14,1.32253,1.44952,1.44846,0.41266,0.38631,0.36278,0.22363,1.40275,1.66455,1.51005,0.000769,0.000769,0.000769
9,1234.78,1.3295,1.41521,1.43216,0.44223,0.37103,0.36553,0.22211,1.40101,1.52952,1.49717,0.000736,0.000736,0.000736
10,1368.14,1.29389,1.38459,1.41397,0.54264,0.36619,0.41676,0.27381,1.31468,1.41291,1.46952,0.000703,0.000703,0.000703
11,1502.63,1.28205,1.34984,1.40234,0.47148,0.37245,0.39219,0.24844,1.3491,1.45372,1.45014,0.00067,0.00067,0.00067
12,1638.42,1.27634,1.31789,1.39818,0.52862,0.38115,0.43871,0.28528,1.32022,1.30865,1.43637,0.000637,0.000637,0.000637
13,1772.8,1.25167,1.26733,1.38706,0.51709,0.41469,0.44397,0.29316,1.28255,1.3223,1.41013,0.000604,0.000604,0.000604
14,1908.77,1.247,1.2579,1.38511,0.51372,0.41754,0.46614,0.3089,1.27921,1.28435,1.40788,0.000571,0.000571,0.000571
15,2048.73,1.24236,1.22589,1.3729,0.54125,0.39571,0.43941,0.28835,1.30704,1.30765,1.42857,0.000538,0.000538,0.000538
16,2184.66,1.23867,1.20368,1.36936,0.52527,0.40037,0.4461,0.28567,1.32776,1.29511,1.40524,0.000505,0.000505,0.000505
17,2320.08,1.22989,1.18973,1.36261,0.54148,0.44607,0.49203,0.32935,1.24213,1.19562,1.37123,0.000472,0.000472,0.000472
18,2459.99,1.2142,1.1479,1.34924,0.55019,0.44553,0.50051,0.33559,1.23601,1.19978,1.36093,0.000439,0.000439,0.000439
19,2601.35,1.21166,1.11693,1.34254,0.56219,0.43461,0.49529,0.33217,1.23208,1.21217,1.36833,0.000406,0.000406,0.000406
20,2735.46,1.18374,1.09859,1.33032,0.54205,0.44365,0.49477,0.32693,1.25551,1.17905,1.37192,0.000373,0.000373,0.000373
21,2862.24,1.24419,1.11854,1.38142,0.51786,0.43701,0.47312,0.31518,1.23319,1.20259,1.35736,0.00034,0.00034,0.00034
22,2986.03,1.22651,1.07829,1.36994,0.56992,0.43457,0.50366,0.34167,1.2138,1.11932,1.34562,0.000307,0.000307,0.000307
23,3114.02,1.21335,1.05316,1.3561,0.56062,0.43477,0.49989,0.33927,1.22424,1.15716,1.3558,0.000274,0.000274,0.000274
24,3238.08,1.19295,1.01477,1.34802,0.5498,0.48794,0.51507,0.35309,1.16867,1.11636,1.32433,0.000241,0.000241,0.000241
25,3365.66,1.17981,0.97345,1.33384,0.55835,0.47713,0.51734,0.353,1.19056,1.10778,1.32589,0.000208,0.000208,0.000208
26,3489.21,1.16924,0.95053,1.32335,0.5684,0.46814,0.52338,0.35637,1.20965,1.07586,1.33576,0.000175,0.000175,0.000175
27,3626.85,1.1666,0.93507,1.31761,0.56826,0.4659,0.52453,0.35852,1.18667,1.05944,1.32354,0.000142,0.000142,0.000142
28,3763.22,1.14759,0.89802,1.30316,0.60354,0.46318,0.53866,0.37077,1.17616,1.05039,1.31143,0.000109,0.000109,0.000109
29,3898.88,1.1379,0.8822,1.29819,0.58361,0.47578,0.54068,0.37082,1.17675,1.03779,1.31656,7.6e-05,7.6e-05,7.6e-05
30,4029.79,1.12454,0.86883,1.28953,0.56185,0.49272,0.53835,0.36979,1.16533,1.03555,1.30796,4.3e-05,4.3e-05,4.3e-05
